"","animal_id","po2","scaled_depth"
"5154","tgut13",5.73521432489428,2486.25
"5155","tgut13",5.3855671267937,2458.625
"5156","tgut13",5.40542152556863,2431
"5157","tgut13",5.41837896358249,2403.375
"5158","tgut13",5.53687884818791,2375.75
"5159","tgut13",5.42987389750157,2348.125
"5160","tgut13",5.39476307413377,2320.5
"5161","tgut13",5.34815731582284,2292.875
"5162","tgut13",5.3874481153474,2265.25
"5163","tgut13",5.49278107495659,2237.625
"5164","tgut13",5.59393405840902,2210
"5165","tgut13",5.37177369272923,2182.375
"5166","tgut13",5.19935358053232,2154.75
"5167","tgut13",5.25222881459666,2127.125
"5168","tgut13",5.10258908325553,2099.5
"5169","tgut13",5.18012617725923,2071.875
"5170","tgut13",5.07479321867411,2044.25
"5171","tgut13",5.11408401819867,2016.625
"5172","tgut13",5.01731952194596,1989
"5173","tgut13",4.91930152009907,1961.375
"5174","tgut13",4.87185976676159,1933.75
"5175","tgut13",4.78429121784895,1906.125
"5176","tgut13",4.64886291859759,1878.5
"5177","tgut13",4.70090264509307,1850.875
"5178","tgut13",4.44969193329828,1823.25
"5179","tgut13",4.52743753834493,1795.625
"5180","tgut13",4.56254885019447,1768
"5181","tgut13",4.3353720258737,1740.375
"5182","tgut13",4.21373764712042,1712.75
"5183","tgut13",4.05490196843922,1685.125
"5184","tgut13",4.16065292504965,1657.5
"5185","tgut13",4.16838588186133,1629.875
"5186","tgut13",3.94037354894762,1602.25
"5187","tgut13",3.61371573122751,1574.625
"5188","tgut13",3.62332967659289,1547
"5189","tgut13",3.69689530548277,1519.375
"5190","tgut13",3.67077094247269,1491.75
"5191","tgut13",3.14745012555695,1464.125
"5192","tgut13",3.23230168986529,1436.5
"5193","tgut13",3.28350493387655,1408.875
"5194","tgut13",3.07074902657978,1381.25
"5195","tgut13",3.02456175477589,1353.625
"5196","tgut13",3.02309876219936,1326
"5197","tgut13",2.99321242105782,1298.375
"5198","tgut13",2.81034261117376,1270.75
"5199","tgut13",2.61221637669683,1243.125
"5200","tgut13",2.73238800762649,1215.5
"5201","tgut13",2.3925637533919,1187.875
"5202","tgut13",2.36434940230343,1160.25
"5203","tgut13",2.25400071523977,1132.625
"5204","tgut13",2.06695092919894,1105
"5205","tgut13",2.15493747613689,1077.375
"5206","tgut13",1.71813996985373,1049.75
"5207","tgut13",1.89285882592488,1022.125
"5208","tgut13",1.80800726161654,994.5
"5209","tgut13",1.65878552830071,966.875
"5210","tgut13",1.69452359294733,939.25
"5211","tgut13",1.32669398510082,911.625
"5212","tgut13",1.33045596425636,884
"5213","tgut13",1.29200115975833,856.375
"5214","tgut13",1.09617366813157,828.75
"5215","tgut13",0.920200819008582,801.125
"5216","tgut13",1.13609146418206,773.5
"5217","tgut13",0.888433732018109,745.875
"5218","tgut13",0.787907501362767,718.25
"5219","tgut13",0.697831088210853,690.625
"5220","tgut13",0.600857837186356,663
"5221","tgut13",0.63659577996856,635.375
"5222","tgut13",0.309102210950743,607.75
"5223","tgut13",0.261660579477686,580.125
"5224","tgut13",0.079835764144849,552.5
"5225","tgut13",-0.0359470139918423,524.875
"5226","tgut13",0.146713796367534,497.25
"5227","tgut13",-0.0831796469642823,469.625
"5228","tgut13",-0.0403358667848075,442
"5229","tgut13",-0.111393876188329,414.375
"5230","tgut13",0.0125396110083711,386.75
"5231","tgut13",-0.0196454729833362,359.125
"5232","tgut13",0.0361559889388352,331.5
"5233","tgut13",-0.295099559234514,303.875
"5234","tgut13",-0.147549815971767,276.25
"5235","tgut13",-0.0656241129039321,248.625
"5236","tgut13",0.015883592138598,221
"5237","tgut13",0.0624892285851162,193.375
"5238","tgut13",-0.0223623357232232,165.75
"5239","tgut13",-0.149639682185732,138.125
"5240","tgut13",0.309520207951977,110.5
"5241","tgut13",7.40361375042905,82.875
"5242","tgut13",26.2325120177778,55.25
"5243","tgut13",45.3186819575356,27.625
"5244","tgut13",51.05306244,0
"5472","tgut15",3.38135594321042,2483.61904761905
"5473","tgut15",3.38093625492998,2462.57142857143
"5474","tgut15",3.389749722186,2441.52380952381
"5475","tgut15",3.28566932463946,2420.47619047619
"5476","tgut15",3.29112528051089,2399.42857142857
"5477","tgut15",3.32973567897491,2378.38095238095
"5478","tgut15",3.37715954469495,2357.33333333333
"5479","tgut15",3.52278816278145,2336.28571428571
"5480","tgut15",3.67219398053298,2315.2380952381
"5481","tgut15",3.80040599973409,2294.19047619048
"5482","tgut15",3.97163515051313,2273.14285714286
"5483","tgut15",4.01192430518355,2252.09523809524
"5484","tgut15",3.79474019972244,2231.04761904762
"5485","tgut15",4.04885594846939,2210
"5486","tgut15",4.19364518793858,2188.95238095238
"5487","tgut15",4.04067250512046,2167.90476190476
"5488","tgut15",4.22134416511796,2146.85714285714
"5489","tgut15",4.23582294295563,2125.80952380952
"5490","tgut15",4.34682820638335,2104.7619047619
"5491","tgut15",4.48112571387655,2083.71428571429
"5492","tgut15",4.61563306653819,2062.66666666667
"5493","tgut15",4.35543182949915,2041.61904761905
"5494","tgut15",4.67963415355453,2020.57142857143
"5495","tgut15",4.61500353308931,1999.52380952381
"5496","tgut15",4.77657983902324,1978.47619047619
"5497","tgut15",4.87142757046332,1957.42857142857
"5498","tgut15",4.67900462010565,1936.38095238095
"5499","tgut15",4.95683230222673,1915.33333333333
"5500","tgut15",4.93710741368606,1894.28571428571
"5501","tgut15",4.94508101289477,1873.2380952381
"5502","tgut15",4.91759236928562,1852.19047619048
"5503","tgut15",4.87268663736107,1831.14285714286
"5504","tgut15",5.57208201831488,1810.09523809524
